date,chamber,energy_total_kwh,fan_power_w_kwh,heating_value_kwh,heating_power_kw_kwh,energy_rate_pct
2025-11-09,1,72.11534265571792,2.481380665507899,17.294145850284266,52.33981613992575,24.245547075805412
2025-11-09,2,77.40472724121597,2.4122463317394742,18.458683525100547,56.53379738437595,26.02386522901693
2025-11-09,3,69.37944446306,2.4114463038921774,18.263530744336126,48.7044674148317,23.325724109125805
2025-11-09,4,78.53795912841298,2.5691502452034984,17.731252836204874,58.2375560470046,26.404863586051853
2025-11-10,1,102.39484595726252,2.9036673247490237,20.185035087113494,79.30614354539999,26.45924562700991
2025-11-10,2,98.09156573276297,2.985673651877102,21.644147518953037,73.46174456193283,25.34726047387621
2025-11-10,3,90.8440998215657,3.0833348406997163,21.108536359177705,66.65222862168828,23.47448573677873
2025-11-10,4,95.66028709506548,2.912272613170199,20.934986955519623,71.81302752637568,24.71900816233516
2025-11-11,1,89.22652348372462,2.9932231133156684,22.195622652946412,64.03767771746254,24.621501809701012
2025-11-11,2,92.59499135824132,2.7515704688248492,21.38344093284883,68.45997995656764,25.551009478835525
2025-11-11,3,92.17621521606722,2.87618876206415,22.00753132966513,67.29249512433793,25.435450818250928
2025-11-11,4,88.39496301712632,2.8288882447545856,20.81685945320577,64.74921531916596,24.39203789321254
2025-11-12,1,78.27300847008492,2.8735427699655065,20.296814051951483,55.10265164816793,22.81939211177496
2025-11-12,2,87.60595218131905,2.97994181717846,20.832686645922355,63.79332371821825,25.54028027317956
2025-11-12,3,90.25763486562491,2.881064212689187,20.46886191230725,66.90770874062848,26.3133409758649
2025-11-12,4,86.87433170962372,2.8099224314843076,20.107051048029657,63.957358230109755,25.326986639180575
2025-11-13,1,86.18916330181416,2.8735552017025667,19.946133731558984,63.36947436855261,25.165527549255888
2025-11-13,2,91.36154564898808,2.9485316019150414,21.89029237575104,66.522721671322,26.675760686074735
2025-11-13,3,83.4693660000533,2.8990221750301695,19.97917144536326,60.591172379659874,24.3714006392849
2025-11-13,4,81.46892367282982,2.6842264033655776,21.352269764241704,57.43242750522254,23.787311125384484
2025-11-14,1,89.7197912060607,2.7429172409280964,21.350593174249525,65.62628079088307,24.564418004728626
2025-11-14,2,88.47756382378655,2.782751054004789,21.678310422071267,64.0165023477105,24.22430806616425
2025-11-14,3,91.31400380659642,2.8862987806914413,20.926385893996102,67.50131913190887,25.00089811888787
2025-11-14,4,95.73153512827277,2.7064034398387915,22.41472412028607,70.6104075681479,26.210375810219244
2025-11-15,1,92.04106105016969,2.937216497408016,22.009201030384713,67.09464352237697,25.437599322359457
2025-11-15,2,87.51046822348975,2.8677776105096258,22.279845601295868,62.36284501168426,24.18546898289041
2025-11-15,3,84.74213968725498,2.8974315891808815,20.946382360260845,60.89832573781325,23.420379670643023
2025-11-15,4,97.5370992801212,2.987897649046123,20.66608491285211,73.88311671822296,26.95655202410711
2025-11-16,1,14.121209830785572,0.4955803267066263,3.0715380467446023,10.554091457334344,26.71720185836047
2025-11-16,2,12.262621968677466,0.38197357604558124,2.680531154081401,9.200117238550483,23.200770357202153
2025-11-16,3,14.062432644806256,0.4181869707600847,3.4021759127988767,10.242069761247294,26.60599595169288
2025-11-16,4,12.408109698832446,0.39438461304959976,3.0341524323730518,8.979572653409795,23.476031832744507
