date,energy_total_kwh,fan_power_w_kwh,heating_value_kwh
2023-08-03,25.89169667178493,2.782433225551881,23.10926344623305
2023-08-04,24.086196659096505,2.9554992513926925,21.13069740770381
2023-08-05,23.892057203170395,3.0411655196336858,20.85089168353671
2023-08-06,23.11735129096527,2.7452826764838743,20.3720686144814
2023-08-07,24.32631586039183,2.7085173670615537,21.617798493330277
2023-08-08,24.18224424102096,3.031483209084294,21.150761031936664
2023-08-09,24.51256390663424,3.114085080580057,21.398478826054184
2023-08-10,24.40503078228675,2.9231185034534257,21.481912278833324
2023-08-11,25.208106688627712,2.94243111759928,22.265675571028435
2023-08-12,22.586659240904982,2.813597366758744,19.773061874146237
2023-08-13,25.26305864475238,2.7397131418727274,22.523345502879653
2023-08-14,24.990859676030674,2.8922967687712746,22.0985629072594
2023-08-15,24.076153595917077,3.0054680329167223,21.070685563000353
2023-08-16,24.433273774844317,2.8444404880830807,21.588833286761236
2023-08-17,22.35583290080395,2.758275521570694,19.59755737923326
2023-08-18,25.307660780713324,2.7762877908824763,22.531372989830846
2023-08-19,23.223354135490354,2.855525178158224,20.367828957332133
2023-08-20,23.336886381791704,2.761285967415085,20.57560041437662
2023-08-21,23.763800077284,2.8396288026260303,20.92417127465797
2023-08-22,24.321085998396708,2.6916147798340195,21.62947121856269
2023-08-23,23.834466393387835,2.860391505400619,20.974074887987214
2023-08-24,25.757053757725622,2.898818679114046,22.858235078611575
2023-08-25,25.955216394791833,2.8126552488882473,23.14256114590359
2023-08-26,24.128413558816245,2.8308579575431954,21.29755560127305
2023-08-27,23.731485284970088,2.851230762816467,20.88025452215362
2023-08-28,24.268352984708617,2.7424345836536195,21.525918401054994
2023-08-29,23.488825168926553,2.8673035309941617,20.62152163793239
2023-08-30,23.420636356702577,2.8494226006246604,20.571213756077917
2023-08-31,24.349533819754214,2.547574961202745,21.80195885855147
2023-09-01,23.89093142390705,2.987082332144939,20.903849091762112
